"State","Year","Month","Deaths","Population","Rate","Period"
"Alaska",2018,8,4,737438,0.542418481282494,8
"Arizona",2018,8,106,7171646,1.47804283702793,8
"Arkansas",2018,8,19,3013825,0.630428110457641,8
"California",2018,8,202,39557045,0.510654928850221,8
"Colorado",2018,8,47,5695564,0.825203614602522,8
"Connecticut",2018,8,64,3572665,1.79137982430483,8
"Delaware",2018,8,40,967171,4.13577330172224,8
"District of Columbia",2018,8,16,702455,2.27772597532938,8
"Florida",2018,8,237,21299325,1.11271131831643,8
"Georgia",2018,8,61,10519475,0.579876847466247,8
"Hawaii",2018,8,4,1420491,0.281592773203069,8
"Idaho",2018,8,4,1754208,0.228023130666375,8
"Illinois",2018,8,149,12741080,1.16944560429728,8
"Indiana",2018,8,88,6691878,1.31502696253578,8
"Iowa",2018,8,11,3156145,0.348526446028304,8
"Kansas",2018,8,4,2911505,0.137385991093953,8
"Kentucky",2018,8,91,4468402,2.03652222875202,8
"Louisiana",2018,8,28,4659978,0.600861205782517,8
"Maine",2018,8,24,1338404,1.79318053442757,8
"Maryland",2018,8,144,6042718,2.38303359514708,8
"Massachusetts",2018,8,166,6902149,2.40504805097659,8
"Michigan",2018,8,155,9995915,1.55063343375769,8
"Minnesota",2018,8,25,5611179,0.445539163872691,8
"Mississippi",2018,8,15,2986530,0.502255125513556,8
"Missouri",2018,8,93,6126452,1.51800748622531,8
"Montana",2018,8,4,1062305,0.376539694343903,8
"Nebraska",2018,8,4,1929268,0.207332521972064,8
"Nevada",2018,8,34,3034392,1.12048805823374,8
"New Hampshire",2018,8,30,1356458,2.21164238037595,8
"New Jersey",2018,8,233,8908520,2.61547372627552,8
"New Mexico",2018,8,29,2095428,1.38396547149317,8
"New York",2018,8,263,19542209,1.34580486781203,8
"North Carolina",2018,8,139,10383620,1.33864683029618,8
"North Dakota",2018,8,4,760077,0.526262470775987,8
"Ohio",2018,8,308,11689442,2.63485630879558,8
"Oklahoma",2018,8,24,3943079,0.608661403943467,8
"Oregon",2018,8,26,4190713,0.620419484703438,8
"Pennsylvania",2018,8,235,12807060,1.83492542394586,8
"Rhode Island",2018,8,20,1057315,1.89158387046434,8
"South Carolina",2018,8,46,5084127,0.90477676895168,8
"Tennessee",2018,8,100,6770010,1.4771026926105,8
"Texas",2018,8,116,28701845,0.404155203263065,8
"Utah",2018,8,41,3161105,1.29701480969471,8
"Vermont",2018,8,4,626299,0.638672582903693,8
"Virginia",2018,8,121,8517685,1.42057378266513,8
"Washington",2018,8,59,7535591,0.782951197855616,8
"West Virginia",2018,8,72,1805832,3.98708185479048,8
"Wisconsin",2018,8,69,5813568,1.18687869480498,8
"Wyoming",2018,8,4,577737,0.692356556703137,8
"Alabama",2018,9,25,4887871,0.511470126768894,9
"Alaska",2018,9,4,737438,0.542418481282494,9
"Arizona",2018,9,75,7171646,1.04578502619901,9
"Arkansas",2018,9,13,3013825,0.431345549260491,9
"California",2018,9,209,39557045,0.528350891731169,9
"Colorado",2018,9,34,5695564,0.596955806308208,9
"Connecticut",2018,9,83,3572665,2.32319570964532,9
"Delaware",2018,9,33,967171,3.41201297392085,9
"District of Columbia",2018,9,16,702455,2.27772597532938,9
"Florida",2018,9,238,21299325,1.1174063027819,9
