ID,WEEK,OBSDATE,OVERCROWDING,crowd3groups,crowd2groups,start.time,DAYFREE,stop.time,EVENT,VIOEVENT,REGION,RETURNS,OFFSCAT2_1,OFFSCAT2_2,OFFSCAT2_4,OFFSCAT2_5,PALWEEK,SEX_FLAG,STRIKE,AVCLOCK,CVCLOCK,PRIORSER,PRIORVIO,AGERLSE_G_1,AGERLSE_G_3,REGION_1,REGION_2,REGION_4,BLACK,LEVELTYPE_1,LEVELTYPE_2,LEVELTYPE_3,LEVELTYPE_4,LEVELTYPE_5,AGEFIRST,MALE,MH_FLAG,CONC_DIS_STD,RES_STAB_STD,PUB_ASSI_STD,PUNITIVE_STD,ADJRATE1_STD,SAMHSA_C_STD,MALEPA,BLACKPA
39,104,2004-12-26,190.2,medium,high,627,191,818,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,36,1,0,-0.8250274658,-0.0131776519,0.2975848317,-1.8153613806,-1.0048490763,0.0583311133,0,0
40,40,2003-09-28,183.5,low,low,0,183,183,1,4,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,25,1,0,-0.6532000303,0.0190248527,1.2758747339,0.1178779677,-0.5894348621,-1.2763344049,0,1
40,98,2004-11-07,187.6,low,low,183,30,213,1,3,2,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,25,1,0,-0.6532000303,0.0190248527,1.2758747339,0.1178779677,-0.5894348621,-1.2763344049,0,1
40,104,2004-12-26,187.6,low,low,213,79,292,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,1,0,-0.6532000303,0.0190248527,1.2758747339,0.1178779677,-0.5894348621,-1.2763344049,0,1
41,104,2004-12-26,190.8,medium,high,0,1774,1774,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,1,0,-0.6956616044,-1.7291264534,0.7834668756,-0.8042349219,1.2893944979,1.4850424528,0,0
42,104,2004-12-26,187.5,low,low,0,731,731,0,0,3,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,24,1,0,1.5557135344,0.2155785114,-0.0545826256,-0.8042349219,1.2893944979,1.2089048624,1,1
43,48,2003-11-23,184.7,low,low,0,135,135,1,2,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,44,1,0,-0.5092654824,-0.1114265844,-0.8287193775,-2.0076482296,-1.4751553535,-0.8774688244,0,0
43,104,2004-12-26,184.7,low,low,135,534,669,0,0,2,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,44,1,0,-0.5092654824,-0.1114265844,-0.8287193775,-2.0076482296,-1.4751553535,-0.8774688244,0,0
44,33,2003-08-10,188.6,low,low,0,171,171,1,5,1,5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,35,0,1,0.3885130584,0.3522536755,0.5724815726,1.2102575302,-2.2724547386,-1.0308786631,1,0
44,104,2004-12-26,188.6,low,low,171,675,846,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,35,0,1,0.3885130584,0.3522536755,0.5724815726,1.2102575302,-2.2724547386,-1.0308786631,1,0
