Mo-Yr,violent-crime,violent-crimeclearances,violent-crimerate,violent-crimeclearancerate,population,participated_population,aggravated-assault,aggravated-assaultclearances,aggravated-assaultrate,aggravated-assaultclearancerate,robbery,robberyclearances,robberyrate,robberyclearancerate,arson,arsonclearances,arsonrate,arsonclearancerate,homicide,homicideclearances,homiciderate,homicideclearancerate,burglary,burglaryclearances,burglaryrate,burglaryclearancerate,motor-vehicle-theft,motor-vehicle-theftclearances,motor-vehicle-theftrate,motor-vehicle-theftclearancerate,larceny,larcenyclearances,larcenyrate,larcenyclearancerate,rape,rapeclearances,raperate,rapeclearancerate,property-crime,property-crimeclearances,property-crimerate,property-crimeclearancerate,Date
04-1988,235859.0,127139.0,107.22,57.8,245812846,219968721.0,64432.0,36459.0,29.29,16.57,34702.0,9709.0,15.78,4.41,7894.0,1307.0,3.59,0.59,1464.0,1002.0,0.67,0.46,210548.0,29252.0,95.72,13.3,96942.0,14835.0,44.07,6.74,536823.0,108225.0,244.05,49.2,6297.0,3349.0,2.86,1.52,852207.0,153619.0,387.42,69.84,1988-04-01
05-1988,261886.0,138148.0,119.09,62.82,245812846,219912722.0,71849.0,39421.0,32.67,17.93,36538.0,9954.0,16.61,4.53,8726.0,1351.0,3.97,0.61,1487.0,1154.0,0.68,0.52,226772.0,30296.0,103.12,13.78,102055.0,15430.0,46.41,7.02,568969.0,106035.0,258.72,48.22,7160.0,3598.0,3.26,1.64,906522.0,153112.0,412.22,69.62,1988-05-01
06-1988,261014.0,138992.0,119.01,63.37,245812846,219318465.0,72007.0,39723.0,32.83,18.11,36447.0,9637.0,16.62,4.39,9810.0,1427.0,4.47,0.65,1481.0,1036.0,0.68,0.47,223243.0,29554.0,101.79,13.48,104627.0,15200.0,47.71,6.93,579807.0,106007.0,264.37,48.33,6891.0,3485.0,3.14,1.59,917487.0,152188.0,418.34,69.39,1988-06-01
07-1988,280729.0,143937.0,128.5,65.88,245812846,218474249.0,77936.0,40758.0,35.67,18.66,40333.0,9652.0,18.46,4.42,9424.0,1347.0,4.31,0.62,1730.0,1091.0,0.79,0.5,247377.0,30935.0,113.23,14.16,114715.0,16262.0,52.51,7.44,614179.0,105013.0,281.12,48.07,7805.0,3799.0,3.57,1.74,985695.0,153557.0,451.17,70.29,1988-07-01
08-1988,280146.0,148213.0,128.52,67.99,245812846,217984986.0,77844.0,42092.0,35.71,19.31,41980.0,10447.0,19.26,4.79,8482.0,1354.0,3.89,0.62,1803.0,1264.0,0.83,0.58,262733.0,35218.0,120.53,16.16,121739.0,17930.0,55.85,8.23,649799.0,113190.0,298.09,51.93,7658.0,3941.0,3.51,1.81,1042753.0,167692.0,478.36,76.93,1988-08-01
09-1988,266241.0,136712.0,122.32,62.81,245812846,217655065.0,71130.0,38038.0,32.68,17.48,41840.0,9859.0,19.22,4.53,8834.0,1186.0,4.06,0.54,1683.0,1111.0,0.77,0.51,240508.0,31176.0,110.5,14.32,112483.0,16510.0,51.68,7.59,576032.0,104612.0,264.65,48.06,6993.0,3514.0,3.21,1.61,937857.0,153484.0,430.89,70.52,1988-09-01
10-1988,253837.0,131317.0,117.01,60.53,245812846,216928581.0,66705.0,36507.0,30.75,16.83,43983.0,10496.0,20.28,4.84,8318.0,1259.0,3.83,0.58,1698.0,1132.0,0.78,0.52,237123.0,30297.0,109.31,13.97,116920.0,15854.0,53.9,7.31,586803.0,110928.0,270.51,51.14,6511.0,3303.0,3.0,1.52,949164.0,158338.0,437.55,72.99,1988-10-01
11-1988,229033.0,115292.0,107.31,54.02,245812846,213423066.0,58863.0,31665.0,27.58,14.84,43168.0,10220.0,20.23,4.79,6846.0,975.0,3.21,0.46,1572.0,1047.0,0.74,0.49,233155.0,27818.0,109.25,13.03,112083.0,15227.0,52.52,7.13,550219.0,104747.0,257.81,49.08,5832.0,2937.0,2.73,1.38,902303.0,148767.0,422.78,69.71,1988-11-01
12-1988,233789.0,119563.0,108.6,55.54,245812846,215277081.0,60087.0,33570.0,27.91,15.59,45482.0,10439.0,21.13,4.85,8554.0,1181.0,3.97,0.55,1736.0,1184.0,0.81,0.55,237041.0,31172.0,110.11,14.48,114632.0,15872.0,53.25,7.37,565604.0,118271.0,262.73,54.94,5244.0,2817.0,2.44,1.31,925831.0,166496.0,430.06,77.34,1988-12-01
01-1989,245691.0,127142.0,103.32,53.47,248248537,237792140.0,63503.0,35166.0,26.71,14.79,46066.0,11057.0,19.37,4.65,8116.0,1231.0,3.41,0.52,1643.0,1096.0,0.69,0.46,243962.0,32061.0,102.59,13.48,119231.0,17157.0,50.14,7.22,565883.0,113111.0,237.97,47.57,6004.0,3095.0,2.52,1.3,937192.0,163560.0,394.12,68.78,1989-01-01
